"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"908",328,"Shannon Ritch","win","Eddie Bartot","SAMP - Showdown at McGee ParkMay / 05 / 2003","Submission (Armbar)N/A","1","0:18",2003-05-05
"91100",328,"Shannon Ritch","loss","Fabiano Iha","HFP 3 - Hitman Fighting Productions 3May / 02 / 2003","Submission (Rear-Naked Choke)N/A","0","0:00",2003-05-02
"9215",328,"Shannon Ritch","NC","Renato Verissimo","ROTR 2 - Rumble on the Rock 2Mar / 15 / 2003","No Contest - Illegal HeadbuttN/A","1","3:09",2003-03-15
"9313",328,"Shannon Ritch","loss","Evan Tanner","FCFF - Fighting Against CancerFeb / 15 / 2003","Submission (Triangle Choke)N/A","1","N/A",2003-02-15
"9413",328,"Shannon Ritch","win","David Klein","RITC 44 - Feel the PowerFeb / 01 / 2003","KO (Kick)N/A","1","0:09",2003-02-01
"9513",328,"Shannon Ritch","loss","Nino Marroquin","CFM - Cage Fighting MonterreyJan / 30 / 2003","TKO (Injury)N/A","1","N/A",2003-01-30
"9613",328,"Shannon Ritch","loss","Wes Combs","PFC - Super BashJan / 10 / 2003","TKON/A","1","0:00",2003-01-10
"9713",328,"Shannon Ritch","win","Kaleo Padilla","ROTR 1 - Rumble on the Rock 1Dec / 28 / 2002","Submission (Armbar)N/A","1","4:20",2002-12-28
"9813",328,"Shannon Ritch","loss","Diego Sanchez","KOTC 20 - CrossroadsDec / 15 / 2002","Submission (Rear-Naked Choke)N/A","1","0:59",2002-12-15
"9913",328,"Shannon Ritch","win","Matt Horning","HHCF 4 - Thanksgiving ThrowdownNov / 30 / 2002","Submission (Heel Hook)N/A","1","0:00",2002-11-30
"1005",328,"Shannon Ritch","win","John Lansing","RITC 40 - Casa GrandeNov / 09 / 2002","Submission (Choke)N/A","1","0:55",2002-11-09
"10198",328,"Shannon Ritch","loss","Brian Ebersole","CFM - Ultimate FightingOct / 26 / 2002","TKO (Punch)N/A","1","3:40",2002-10-26
"10214",328,"Shannon Ritch","loss","Edwin Dewees","RITC 38 - Let's RollSep / 07 / 2002","Submission (Armbar)N/A","1","1:12",2002-09-07
"10313",328,"Shannon Ritch","loss","Chris Brennan","AC 1 - Aztec Challenge 1Sep / 06 / 2002","Submission (Armbar)N/A","1","4:50",2002-09-06
"10413",328,"Shannon Ritch","win","Jeff Rogers","RITC 37 - When Countries CollideJul / 27 / 2002","TKON/A","1","1:02",2002-07-27
"10513",328,"Shannon Ritch","loss","Daisuke Nakamura","Pride FC - The Best, Vol. 2Jul / 20 / 2002","Submission (Armbar)N/A","1","4:28",2002-07-20
"10613",328,"Shannon Ritch","NC","Cedric Marks","WFC 1 - World Fighting Championships 1Jun / 26 / 2002","No ContestN/A","1","0:00",2002-06-26
"10713",328,"Shannon Ritch","loss","Joe Merit","KOTC 14 - 5150Jun / 19 / 2002","KO (Knee)N/A","1","1:46",2002-06-19
"10813",328,"Shannon Ritch","loss","Jared Rollins","XCF - California Pancration ChampionshipsJun / 11 / 2002","SubmissionN/A","1","2:33",2002-06-11
"10913",328,"Shannon Ritch","loss","Sherk Julian","WEC 3 - All or NothingJun / 07 / 2002","TKO (Submission to Punches)N/A","1","1:57",2002-06-07
"1104",328,"Shannon Ritch","loss","Jason MacDonald","MFC 4 - New GroundzJun / 01 / 2002","Submission (Rear-Naked Choke)N/A","1","2:45",2002-06-01
"11190",328,"Shannon Ritch","loss","Jeremy Williams","FFC 1 - Force Fighting Championships 1May / 18 / 2002","TKO (Submission to Strikes)N/A","1","3:00",2002-05-18
"11213",328,"Shannon Ritch","loss","Benji Radach","MFC 3 - Canadian PrideMar / 03 / 2002","TKO (Punches)N/A","1","1:18",2002-03-03
"11312",328,"Shannon Ritch","loss","Brian Dunn","RnR - Rock 'N' Rumble 1Dec / 29 / 2001","Submission (Armbar)N/A","1","1:35",2001-12-29
"11412",328,"Shannon Ritch","loss","Ronald Jhun","Warriors Quest 3 - Punishment in ParadiseDec / 01 / 2001","TKO (Punches)N/A","1","2:17",2001-12-01
"11511",328,"Shannon Ritch","loss","Henry Matamoros","IHC 3 - ExodusNov / 10 / 2001","Submission (Armbar)N/A","1","0:47",2001-11-10
"11611",328,"Shannon Ritch","loss","James Upshur","RITC 30 - Soaring to New HeightsSep / 26 / 2001","Submission (Armbar)N/A","1","0:38",2001-09-26
"11711",328,"Shannon Ritch","loss","Mark Weir","MB 3 - Independence DayJul / 01 / 2001","Submission (Choke)N/A","1","0:00",2001-07-01
"11811",328,"Shannon Ritch","loss","Katsumi Usuta","KOTC 9 - ShowtimeJun / 23 / 2001","Submission (Heel Hook)N/A","1","2:20",2001-06-23
"11911",328,"Shannon Ritch","win","Erik Johnston","TK - Total KombatMay / 13 / 2001","Submission (Armbar)N/A","1","4:23",2001-05-13
"1203",328,"Shannon Ritch","loss","John Renken","Bushido 1 - Bushido 1Jan / 18 / 2001","Submission (Heel Hook)N/A","1","N/A",2001-01-18
"12178",328,"Shannon Ritch","loss","Kazushi Sakuraba","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Achilles Lock)N/A","1","1:08",2000-10-31
"12211",328,"Shannon Ritch","loss","Jose Luis Munoz","VTM 2 - Vale Tudo Mexico 2Aug / 28 / 2000","TKON/A","1","1:42",2000-08-28
"12310",328,"Shannon Ritch","loss","Larry Parker","VTM 1 - Copa Mexico 2000 Grand PrixJun / 23 / 2000","TKON/A","1","0:45",2000-06-23
"12410",328,"Shannon Ritch","win","Hector Ferreyro","VTM 1 - Copa Mexico 2000 Grand PrixJun / 23 / 2000","SubmissionN/A","1","0:36",2000-06-23
"12510",328,"Shannon Ritch","loss","Jake Shields","BOTB - Best of the BestMay / 04 / 2000","Submission (Choke)N/A","1","2:45",2000-05-04
"12610",328,"Shannon Ritch","win","Luke Pedigo","TFC 1 - Fightzone 1Feb / 26 / 2000","Submission (Armbar)N/A","1","0:43",2000-02-26
"12710",328,"Shannon Ritch","loss","Steve Berger","SFC - Submission Fighting Championships 9Jan / 28 / 2000","Submission (Guillotine Choke)N/A","1","1:30",2000-01-28
"12810",328,"Shannon Ritch","loss","Alexandre Ferreira","AAC 2 - Amsterdam Absolute Championship 2Nov / 27 / 1999","Submission (Keylock)N/A","1","0:48",1999-11-27
"12910",328,"Shannon Ritch","loss","Maurice Wilson","CW 2 - Cage Wars 2Oct / 21 / 1999","Submission (Guillotine Choke)N/A","1","0:00",1999-10-21
"1301",328,"Shannon Ritch","loss","Antonio McKee","Ready to Rumble - Let's Get Ready to RumbleOct / 13 / 1999","TKO (Submission to Punches)N/A","1","N/A",1999-10-13
"13162",328,"Shannon Ritch","loss","Paul Nixon","HOOKnSHOOT - Texas HeatOct / 02 / 1999","Submission (Armbar)N/A","1","4:17",1999-10-02
"13211",328,"Shannon Ritch","loss","Bob Cook","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","TKO (Submission to Punches)N/A","1","7:32",1999-09-18
"13310",328,"Shannon Ritch","loss","Yves Edwards","Armageddon - Armageddon 1Aug / 23 / 1999","Submission (Rear-Naked Choke)N/A","1","2:39",1999-08-23
"13410",328,"Shannon Ritch","win","David Harris","AFO - Absolute Face OffAug / 08 / 1999","Submission (Armbar)N/A","1","0:13",1999-08-08
"13510",328,"Shannon Ritch","NC","Top Chynaimen","ES - Extreme ShootoutJun / 25 / 1999","No Contest (Illegal Punches)N/A","1","1:12",1999-06-25
"13610",328,"Shannon Ritch","win","Henry Cho","NG 12 - Neutral Grounds 12May / 28 / 1999","Submission (Choke)N/A","1","N/A",1999-05-28
"13710",328,"Shannon Ritch","win","David Harris","ASA - Arizona Shootfighting AssociationMay / 22 / 1999","Submission (Rear-Naked Choke)N/A","1","1:01",1999-05-22
"13810",328,"Shannon Ritch","win","James Minson","ES - Extreme ShootoutApr / 16 / 1999","DisqualificationN/A","1","0:00",1999-04-16
"13910",328,"Shannon Ritch","win","David Finn","ES - Extreme ShootoutApr / 16 / 1999","Submission (Rear-Naked Choke)N/A","1","2:18",1999-04-16
"1401",328,"Shannon Ritch","win","Vincent Ellis","WSW - World Shoot Wrestling 3Mar / 15 / 1999","KO (Punches)N/A","1","N/A",1999-03-15
"14158",328,"Shannon Ritch","win","Gabriel Hernandez","WSW - World Shoot Wrestling 3Mar / 15 / 1999","Submission (Heel Hook)N/A","1","N/A",1999-03-15
"14211",328,"Shannon Ritch","loss","Kevin Cook","WEF 2 - World Extreme Fighting 2Feb / 21 / 1999","Submission (Choke)N/A","1","2:50",1999-02-21
"14310",328,"Shannon Ritch","loss","Ben Earwood","SB 11 - SuperBrawl 11Feb / 02 / 1999","Submission (Heel Hook)N/A","1","1:54",1999-02-02
"14410",328,"Shannon Ritch","win","Brennan Kamaka","SB 11 - SuperBrawl 11Feb / 02 / 1999","Submission (Guillotine Choke)N/A","1","0:59",1999-02-02
"14510",328,"Shannon Ritch","loss","Justin Martin","PRW - Power Ring WarriorsNov / 07 / 1998","Submission (Ankle Lock)N/A","1","1:40",1998-11-07
"14610",328,"Shannon Ritch","loss","Dennis Hallman","EC 21 - Extreme Challenge 21Oct / 17 / 1998","TKO (Submission to Punches)N/A","1","0:44",1998-10-17
"14710",328,"Shannon Ritch","loss","Tom Schmitz","EC 21 - Extreme Challenge 21Oct / 17 / 1998","Submission (Armbar)N/A","1","0:25",1998-10-17
"14810",328,"Shannon Ritch","win","Michael Buell","SB 9 - SuperBrawl 9Sep / 19 / 1998","Submission (Rear-Naked Choke)N/A","1","2:33",1998-09-19
"14910",328,"Shannon Ritch","loss","Victor Hunsaker","SB 8 - SuperBrawl 8Aug / 04 / 1998","Submission (Heel Hook)N/A","1","0:36",1998-08-04
"1501",328,"Shannon Ritch","win","Tim Horton","WSW - World Shoot Wrestling 2Jul / 14 / 1998","KO (Punches)N/A","2","1:23",1998-07-14
"15148",328,"Shannon Ritch","win","Ramone Monserrate","WSW - World Shoot Wrestling 1Jun / 12 / 1998","Submission (Guillotine Choke)N/A","1","9:08",1998-06-12
"2893",329,"Tokimitsu Ishizawa","loss","Katsuyori Shibata","Dream 12 - The Cage of the Rising SunOct / 25 / 2009","TKO (Punches)Samio Kimura","1","4:52",2009-10-25
"3493",329,"Tokimitsu Ishizawa","loss","Taiei Kin","K-1 - Premium 2006 Dynamite!!Dec / 31 / 2006","KO (Head Kick)N/A","1","2:48",2006-12-31
"4384",329,"Tokimitsu Ishizawa","loss","Carlos Newton","K-1 - Hero's 7Oct / 09 / 2006","TKO (Punches)N/A","1","0:22",2006-10-09
"5297",329,"Tokimitsu Ishizawa","loss","Yoshihiro Akiyama","K-1 - Hero's 4Mar / 15 / 2006","Submission (Ezekiel Choke)N/A","2","1:41",2006-03-15
"6265",329,"Tokimitsu Ishizawa","draw","Shingo Koyasu","Inoki Bom-Ba-Ye 2001 - K-1 vs. InokiDec / 31 / 2001","DrawN/A","5","3:00",2001-12-31
"7247",329,"Tokimitsu Ishizawa","win","Ryan Gracie","Pride 15 - Raging RumbleJul / 29 / 2001","TKO (Injury)N/A","1","4:51",2001-07-29
"8233",329,"Tokimitsu Ishizawa","loss","Ryan Gracie","Pride 10 - Return of the WarriorsAug / 27 / 2000","KO (Punches)N/A","1","2:16",2000-08-27
"2894",330,"Amir Rahnavardi","loss","Bobby Voelker","M-1 Challenge 8 - USAOct / 29 / 2008","Decision (Unanimous)James Lee","3","5:00",2008-10-29
"3494",330,"Amir Rahnavardi","loss","Brent Beauparlant","HCF - Crow's NestMar / 29 / 2008","Decision (Unanimous)N/A","3","5:00",2008-03-29
"4385",330,"Amir Rahnavardi","loss","Antonio Schembri","MMAC - The RevolutionMay / 12 / 2007","Submission (Triangle Armbar)N/A","1","0:57",2007-05-12
"5298",330,"Amir Rahnavardi","loss","Ryan McGivern","IFL - Legends Championship 2006Apr / 29 / 2006","Decision (Unanimous)N/A","3","4:00",2006-04-29
"6266",330,"Amir Rahnavardi","win","Tim         Williams","RITR - Rumble in the RockiesFeb / 18 / 2006","Decision (Unanimous)Adam Martinez","2","5:00",2006-02-18
"7248",330,"Amir Rahnavardi","win","Eric Vance","Valor Fighting - Home of the BraveJul / 02 / 2005","Submission (Rear-Naked Choke)N/A","1","0:00",2005-07-02
"8234",330,"Amir Rahnavardi","win","Kengo Ura","WEC 10 - Bragging RightsMay / 21 / 2004","TKO (Cut)N/A","1","5:00",2004-05-21
"9207",330,"Amir Rahnavardi","win","Trevor Garrett","ICE 7 - Meltdown at MetropolisJan / 16 / 2004","Submission (Triangle Choke)N/A","1","1:01",2004-01-16
"10199",330,"Amir Rahnavardi","loss","Stephan Potvin","WFF 3 - World Freestyle Fighting 3Oct / 25 / 2002","TKON/A","2","0:00",2002-10-25
"11191",330,"Amir Rahnavardi","loss","Lee Murray","MB 8 - Millennium Brawl 8Sep / 22 / 2002","KO (Punch)N/A","1","0:04",2002-09-22
"12179",330,"Amir Rahnavardi","win","Nicco Nicco","UAGF 1 - Ultimate Cage Fighting 1May / 09 / 2002","TKO (Submission to Punches)N/A","1","N/A",2002-05-09
"13163",330,"Amir Rahnavardi","loss","Sokun Koh","Pride FC - The Best, Vol. 1Feb / 22 / 2002","KO (Punch)N/A","2","1:19",2002-02-22
"14159",330,"Amir Rahnavardi","win","Paul Zilius","UP 1 - Ultimate Pankration 1Nov / 11 / 2001","Submission (Triangle Choke)N/A","1","1:59",2001-11-11
"15149",330,"Amir Rahnavardi","win","Jeff Newton","UP 1 - Ultimate Pankration 1Nov / 11 / 2001","DecisionN/A","3","4:00",2001-11-11
"16146",330,"Amir Rahnavardi","win","Ross Clifton","GC 6 - Caged BeastsSep / 09 / 2001","TKO (Punches)Larry Landless","1","3:17",2001-09-09
"17139",330,"Amir Rahnavardi","loss","Keith Jardine","GC 5 - Rumble in the RockiesAug / 19 / 2001","Submission (Armbar)Sost Infante","1","2:44",2001-08-19
"18137",330,"Amir Rahnavardi","loss","Brian    Foster","KOTC 9 - ShowtimeJun / 23 / 2001","TKO (Punches)N/A","1","4:22",2001-06-23
"19135",330,"Amir Rahnavardi","win","Daijiro Matsui","KOTC 5 - Cage WarsSep / 16 / 2000","Decision (Unanimous)N/A","3","5:00",2000-09-16
"20123",330,"Amir Rahnavardi","win","Scott Turner","EC 22 - Extreme Challenge 22Nov / 21 / 1998","Decision (Unanimous)N/A","1","16:00",1998-11-21
"21186",330,"Amir Rahnavardi","win","David Davis","EC 22 - Extreme Challenge 22Nov / 21 / 1998","Submission (Arm-Triangle Choke)N/A","1","3:43",1998-11-21
"22170",330,"Amir Rahnavardi","loss","Gary Goodridge","Pride FC - Pride 3Jun / 24 / 1998","KO (Punches)Takumi Adachi","1","7:22",1998-06-24
"2895",331,"Hans Nijman","loss","Minoru Suzuki","U-Spirits - AgainMar / 09 / 2013","Submission (Kneebar)N/A","2","1:52",2013-03-09
"3495",331,"Hans Nijman","loss","Cheick Kongo","It's Showtime - Amsterdam ArenaJun / 08 / 2003","Submission (Armbar)N/A","2","0:59",2003-06-08
"4386",331,"Hans Nijman","loss","Barrington Patterson","It's Showtime - OriginalOct / 21 / 2001","KO (Punches)Michel Blitz","1","1:47",2001-10-21
"5299",331,"Hans Nijman","loss","Kazuyuki Fujita","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Submission (Scarf Hold)Yuji Shimada","1","2:48",2000-01-30
"6267",331,"Hans Nijman","win","Danny Higgins","Rings Australia - NR 3Mar / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","5:46",1999-03-07
"7249",331,"Hans Nijman","loss","Hiromitsu Kanehara","Rings - World Mega Battle TournamentDec / 23 / 1998","Submission (Armbar)N/A","1","9:04",1998-12-23
"8235",331,"Hans Nijman","win","Vladimir Klementiev","Rings - Fourth Fighting IntegrationJun / 27 / 1998","SubmissionN/A","1","4:44",1998-06-27
"9208",331,"Hans Nijman","win","Victor Kruger","Rings Holland - Who's the BossJun / 07 / 1998","KO (Head Kick)N/A","2","0:10",1998-06-07
"10200",331,"Hans Nijman","loss","Kiyoshi Tamura","Rings - Mega Battle Tournament 1997 Semifinal 1Oct / 25 / 1997","Submission (Arm Lock)N/A","1","10:34",1997-10-25
"11192",331,"Hans Nijman","win","Lee Hasdell","Rings Holland - The Final ChallengeFeb / 02 / 1997","Submission (Guillotine Choke)N/A","1","5:35",1997-02-02
"12180",331,"Hans Nijman","loss","Tariel Bitsadze","Rings - Battle Dimensions Tournament 1996 FinalJan / 01 / 1997","N/AN/A","0","0:00",1997-01-01
"13164",331,"Hans Nijman","win","Allen Harris","Rings Holland - Kings of Martial ArtsFeb / 18 / 1996","Submission (Guillotine Choke)N/A","2","1:30",1996-02-18
"14160",331,"Hans Nijman","win","Magomedkhan Gamzatkhanov","Rings - Budokan Hall 1996Jan / 24 / 1996","TKON/A","0","0:00",1996-01-24
"15150",331,"Hans Nijman","win","Ramaji Buzoriashivilli","Rings - Battle Dimensions Tournament 1995 Opening RoundOct / 21 / 1995","N/AN/A","0","0:00",1995-10-21
"16147",331,"Hans Nijman","win","Andrei Kopylov","Rings Holland - Free FightFeb / 19 / 1995","KO (Knee)N/A","1","3:10",1995-02-19
"17140",331,"Hans Nijman","win","Yoshihisa Yamamoto","Rings - Budokan Hall 1995Jan / 25 / 1995","N/AN/A","0","0:00",1995-01-25
"2896",332,"Tony Huecias","win","Alex Richard","KOTC 7 - Wet and WildFeb / 24 / 2001","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"3496",332,"Tony Huecias","loss","Tim Conrad","GC 1 - Gladiator Challenge 1Dec / 09 / 2000","Submission (Armbar)N/A","0","N/A",2000-12-09
"2897",333,"Victor Hunsaker","win","Bill Duvall","KOTC 54 - Mucho MachismoJun / 12 / 2005","Submission (Toe Hold)N/A","1","2:23",2005-06-12
"3497",333,"Victor Hunsaker","win","Patrick Lebreton","KOTC 9 - ShowtimeJun / 23 / 2001","Submission (Triangle Choke)N/A","1","0:36",2001-06-23
"4387",333,"Victor Hunsaker","win","Kevin Hogan","KOTC 7 - Wet and WildFeb / 24 / 2001","Submission (Armbar)N/A","1","4:36",2001-02-24
"5300",333,"Victor Hunsaker","win","Drew Irion","Superbrawl 19 - Futurebrawl 2000Nov / 14 / 2000","Submission (Armbar)N/A","1","1:01",2000-11-14
"6268",333,"Victor Hunsaker","win","David Harris","BOTB - Best of the BestMay / 04 / 2000","Submission (Ankle Lock)N/A","1","N/A",2000-05-04
"7250",333,"Victor Hunsaker","win","Brennan Kamaka","SB 15 - SuperBrawl 15Dec / 07 / 1999","Submission (Leg Lock)Lance Gibson","1","0:46",1999-12-07
"8236",333,"Victor Hunsaker","loss","Genki Sudo","Pancrase - Breakthrough 9Oct / 25 / 1999","TKO (Submission to Elbows)Yoshinori Umeki","1","1:43",1999-10-25
"9209",333,"Victor Hunsaker","loss","Ray    Cooper","SB 12 - SuperBrawl 12Jun / 01 / 1999","TKO (Punches)N/A","1","0:46",1999-06-01
"10201",333,"Victor Hunsaker","win","Tyson Johnson","ESF - Empire OneMay / 15 / 1999","Submission (Ankle Lock)N/A","1","N/A",1999-05-15
"11193",333,"Victor Hunsaker","loss","Ben Earwood","SB 11 - SuperBrawl 11Feb / 02 / 1999","Submission (Armbar)N/A","1","2:02",1999-02-02
"12181",333,"Victor Hunsaker","loss","Savant Young","NG 9 - Neutral Grounds 9Jan / 10 / 1999","Submission (Heel Hook)N/A","1","1:55",1999-01-10
"13165",333,"Victor Hunsaker","win","Brian Cordowa","NG 9 - Neutral Grounds 9Jan / 10 / 1999","Submission (Heel Hook)N/A","1","0:40",1999-01-10
"14161",333,"Victor Hunsaker","loss","Cleber Luciano","EC 22 - Extreme Challenge 22Nov / 21 / 1998","TKO (Punches)N/A","1","6:20",1998-11-21
"15151",333,"Victor Hunsaker","loss","Matt Hughes","EC 21 - Extreme Challenge 21Oct / 17 / 1998","TKO (Punches)N/A","1","1:39",1998-10-17
"16148",333,"Victor Hunsaker","win","Shannon Ritch","SB 8 - SuperBrawl 8Aug / 04 / 1998","Submission (Heel Hook)N/A","1","0:36",1998-08-04
"17141",333,"Victor Hunsaker","win","Javier Vazquez","NG 5 - Neutral Grounds 5Jun / 28 / 1998","DecisionN/A","1","11:00",1998-06-28
"18138",333,"Victor Hunsaker","win","Don Garrett","NG 5 - Neutral Grounds 5Jun / 28 / 1998","Submission (Triangle Choke)N/A","1","2:18",1998-06-28
"19136",333,"Victor Hunsaker","win","Jason Brown","NG 5 - Neutral Grounds 5Jun / 28 / 1998","Submission (Ankle Lock)N/A","1","3:19",1998-06-28
"20124",333,"Victor Hunsaker","draw","Kelly Kellemberger","ES 2 - Extreme Shoot 2Jun / 06 / 1998","DrawN/A","3","5:00",1998-06-06
"2898",334,"Kevin Hogan","loss","Byron Stone","DPP - September to RememberSep / 17 / 2006","Submission (Rear-Naked Choke)N/A","1","0:00",2006-09-17
"3498",334,"Kevin Hogan","loss","Chris Brennan","KOTC 10 - Critical MassAug / 04 / 2001","Submission (Armbar)N/A","2","1:08",2001-08-04
"4388",334,"Kevin Hogan","loss","Victor Hunsaker","KOTC 7 - Wet and WildFeb / 24 / 2001","Submission (Armbar)N/A","1","4:36",2001-02-24
"5301",334,"Kevin Hogan","loss","Thomas Denny","LI - Lionheart InvitationalSep / 01 / 1999","Submission (Kneebar)N/A","1","5:26",1999-09-01
"6269",334,"Kevin Hogan","loss","Paul Rodriguez","WVF - Orlando 3Sep / 12 / 1998","Submission (Armbar)N/A","1","5:49",1998-09-12
"7251",334,"Kevin Hogan","win","Bill Perez","WVF - Orlando 1May / 30 / 1998","Submission (Choke)N/A","1","2:13",1998-05-30
"2899",335,"Shungo Oyama","loss","Yuji Sakuragi","Pancrase - 263Dec / 06 / 2014","TKO (Corner Stoppage)Ryogaku Wada","2","1:03",2014-12-06
"3499",335,"Shungo Oyama","loss","Ikkei Nagamura","Pancrase - 260Aug / 10 / 2014","KO (Punch)Ryogaku Wada","2","1:01",2014-08-10
"4389",335,"Shungo Oyama","win","Handong Kong","Pancrase - 257Mar / 30 / 2014","Submission (Heel Hook)Ryogaku Wada","1","3:26",2014-03-30
"5302",335,"Shungo Oyama","loss","Jordan Currie","Pancrase 252 - 20th AnniversarySep / 29 / 2013","Technical Submission (Arm-Triangle Choke)Ryogaku Wada","1","5:00",2013-09-29
"6270",335,"Shungo Oyama","loss","Eun Soo Lee","Road FC 10 - Monson vs. KangNov / 24 / 2012","KO (Punches)Dong Young Jang","1","2:48",2012-11-24
"7252",335,"Shungo Oyama","loss","Asif Tagiev","Rings - Vol. 2: ConquisitoSep / 23 / 2012","TKO (Knees and Punches)N/A","1","4:44",2012-09-23
"8237",335,"Shungo Oyama","loss","Ryo Kawamura","Pancrase - Progress Tour 7Jun / 02 / 2012","KO (Soccer Kick)Ryogaku Wada","1","4:19",2012-06-02
"9216",335,"Shungo Oyama","win","Hye Seok Son","Road FC 6 - The Final FourFeb / 05 / 2012","Submission (Punches)N/A","1","2:10",2012-02-05
"10202",335,"Shungo Oyama","win","Jong-Dae Kim","Road FC 6 - The Final FourFeb / 05 / 2012","Submission (Heel Hook)N/A","1","1:44",2012-02-05
"11194",335,"Shungo Oyama","win","Denis Kang","Road FC 5 - Night of ChampionsDec / 03 / 2011","TKO (Knees)N/A","1","4:30",2011-12-03
"12182",335,"Shungo Oyama","win","Gyu Seok Son","Pancrase - Impressive Tour 9Sep / 04 / 2011","KO (Punch)Minoru Toyonaga","1","0:11",2011-09-04
"13166",335,"Shungo Oyama","win","Brian Gassaway","MC - Martial Combat 10Sep / 16 / 2010","Technical Submission (Inverted Triangle Choke)Steve Perceval","1","1:50",2010-09-16
